ticker,security,data_source,report_url,scope1_tco2e,scope2_location_tco2e,scope2_market_tco2e,scope1_base_year_end,scope1_base_year_tco2e,revenue_usd,is_cdp_format,notes
HON,Honeywell,sustainability_report,https://www.honeywell.com/content/dam/honeywellbt/en/documents/downloads/hon-2025-impact-report.pdf,750530.0,666603.0,743471.0,,,38500000000.0,False,Verified manually; 5yr series 2020-2024 in notes doc; SBTi target 50% S1+2 cut by 2037 from 2019 base
LIN,Linde,cdp_pdf,https://www.cdp.net (fetched via WebFetch - direct URL not retained),16582000.0,20700000.0,21562000.0,12/31/2018,16872000.0,32854000000.0,True,Verified manually and by script
NEE,NextEra Energy,sustainability_report,https://www.nexteraenergy.com (data appendix PDF - direct URL not retained),43409916.37,24559.89,25603.0,,,,False,"Verified manually; GHG Protocol/SASB Scope1, third-party verified ISO-14064-3; EEI template gives separate CO2-only Owned Generation figure of 42627033 for 2024 - do not conflate"
HD,Home Depot,cdp_pdf,https://ir.homedepot.com/~/media/Files/H/HomeDepot-IR/2025/legal-esg/2024-cdp-response.pdf,628738.0,1033194.0,733779.0,01/31/2021,607055.0,152669000000.0,True,Verified manually and by script
ABT,Abbott Laboratories,cdp_pdf,https://www.abbott.com/content/dam/corp/abbott/en-us/documents/pdfs/abbott-citizenship/2024-Abbott-CDP-Corporate-Questionnaire.pdf,501000.0,482000.0,406000.0,12/31/2018,538000.0,40109000000.0,new,
ABBV,AbbVie,epa_ghgrp,https://www.abbvie.com/content/dam/abbvie-com2/pdfs/sustainability/2024-cdp.pdf,99777.824,,,,,,,"EPA GHGRP 2023 Direct Emitters, matched via parent company 'ABBVIE INC' (2 facilities). Scope 1 (direct/on-site) only -- GHGRP does not cover Scope 2. Prior attempt: data_source=cdp_pdf, report_url=https://www.abbvie.com/content/dam/abbvie-com2/pdfs/sustainability/2024-cdp.pdf, notes=download_error: 403 Client Error: Forbidden for url: https://www.abbvie.com/content/dam/corporate/abbvie-com2/pdfs/sustainability/2024-cdp.pdf"
ACN,Accenture,cdp_pdf,https://www.accenture.com/content/dam/accenture/final/corporate/company-information/document/Accenture-CDP-2024.pdf,,,,,,,False,no_fields_extracted
MMM,3M,epa_ghgrp,https://multimedia.3m.com/mws/media/2589589O/3m-2025-global-impact-report.pdf,,,,,,,False,"EPA GHGRP 2023 Direct Emitters, matched via parent company '3M CO' (11 facilities). Scope 1 (direct/on-site) only -- GHGRP does not cover Scope 2. Prior attempt: data_source=sustainability_report, report_url=https://multimedia.3m.com/mws/media/2589589O/3m-2025-global-impact-report.pdf, notes=no_fields_extracted"
AOS,A. O. Smith,sustainability_report,https://www.aosmith.com/on/demandware.static/-/Sites-aosmith-Library/default/dw9faf4a3d/pdf/2024-Sustainability-Report.pdf,,,,,,,False,no_fields_extracted
ADBE,Adobe Inc.,cdp_pdf,https://www.adobe.com/content/dam/cc/en/corporate-responsibility/pdfs/CDP-2023-Climate-Change.pdf,6568.0,57168.0,22936.0,,,,old,
AMD,Advanced Micro Devices,cdp_pdf,https://www.amd.com/content/dam/amd/en/documents/corporate/cr/amd-cdp-corporate-2024-questionnaire-2023-data.pdf,10008.0,80839.0,36597.0,12/31/2020,6412.0,,new,
AES,AES Corporation,cdp_pdf,https://www.aes.com/sites/global/files/2025-06/aes-cdp-assessment-2024.pdf,33401594.0,472668.0,472668.0,12/31/2016,51809568.0,12668000000.0,new,
AFL,Aflac,cdp_pdf,https://s24.q4cdn.com/367535798/files/doc_downloads/2026/03/AFLAC-Incorporated-12-08-2025-CORPORATE-04-06.pdf,2850.0,7370.0,0.0,12/31/2023,3499.0,18927000000.0,new,
AKAM,Akamai Technologies,sustainability_report,https://www.akamai.com/site/en/documents/corporate/2025/akamai-2024-esg-impact-report.pdf,,,,,,,False,no_fields_extracted
APD,Air Products,sustainability_report,https://www.airproducts.com/-/media/files/en/900/900-24-001-us-sustainability-report-2024.pdf,,,,,,,False,no_fields_extracted
ABNB,Airbnb,none,,,,,,,,,no_public_report_found
ARE,Alexandria Real Estate Equities,none,,,,,,,,,no_public_report_found
GOOGL,Alphabet Inc. (Class A),cdp_pdf,https://kstatic.googleusercontent.com/files/c94dad6f0210733d06e8006417fa88e20ec5171772b6789ec72053b2e9d475598e2dd744a9fb04c305a7b399f1f771a27446a0581976a0fed655a928b0b775de,79400.0,9252900.0,3423400.0,12/31/2019,81900.0,307394000000.0,new,
GOOG,Alphabet Inc. (Class C),cdp_pdf,https://kstatic.googleusercontent.com/files/c94dad6f0210733d06e8006417fa88e20ec5171772b6789ec72053b2e9d475598e2dd744a9fb04c305a7b399f1f771a27446a0581976a0fed655a928b0b775de,79400.0,9252900.0,3423400.0,12/31/2019,81900.0,307394000000.0,new,
ALGN,Align Technology,none,,,,,,,,,no_public_report_found
ALLE,Allegion,none,,,,,,,,,no_public_report_found
LNT,Alliant Energy,epa_ghgrp,,23041618.196000002,,,,,,,"EPA GHGRP 2023 Direct Emitters, matched via parent company 'ALLIANT ENERGY CORP' (16 facilities). Scope 1 (direct/on-site) only -- GHGRP does not cover Scope 2. Prior attempt: data_source=none, report_url=n/a, notes=no_public_report_found"
ALL,Allstate,none,,,,,,,,,no_public_report_found
AEE,Ameren,epa_ghgrp,https://www.ameren.com/-/media/corporate-site/files/environment/esg-report-library/ameren_cdp_2024.ashx,19669522.87,,,,,,,"EPA GHGRP 2023 Direct Emitters, matched via parent company 'AMEREN CORP' (11 facilities). Scope 1 (direct/on-site) only -- GHGRP does not cover Scope 2. Prior attempt: data_source=cdp_pdf, report_url=https://www.ameren.com/-/media/corporate-site/files/environment/esg-report-library/ameren_cdp_2024.ashx, notes=download_error: 403 Client Error: Forbidden for url: https://www.ameren.com/-/media/corporate-site/files/environment/esg-report-library/ameren_cdp_2024.ashx"
